title;published_date;data_url;creator;description;unit;fail_reason
Migratie-intensiteit;augustus 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_19.csv;Statbel;Som van de totale inwijkingen en uitwijkingen, uitgedrukt per 1.000 inwoners.;per 1.000 inwoners migraties;
Migratiesaldo;augustus 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_18.csv;Statbel;Saldo van de verhuisbewegingen van en naar een andere gemeente in België (aantal inwijkingen uit andere gemeenten in België, verminderd met aantal uitwijkingen naar andere gemeenten in België) + saldo van aantal verhuisbewegingen van en naar het buitenland (aantal inwijkingen uit het buitenland, verminderd met aantal uitwijkingen naar het buitenland).;per 1.000 inwoners migraties;
Migratiesaldo van vreemdelingen;september 2022;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_IN_32.csv;Statbel;Saldo van de verhuisbewegingen van vreemdelingen van en naar een andere gemeente in België (aantal inwijkingen uit andere gemeenten in België, verminderd met aantal uitwijkingen naar andere gemeenten in België) + saldo van aantal verhuisbewegingen van vreemdelingen van en naar het buitenland (aantal inwijkingen uit het buitenland, verminderd met aantal uitwijkingen naar het buitenland).;per 1.000 inwoners migraties;
Milieubewust handelen;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_KL_S_11.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat in hoge mate milieubewust handelt. Voor deze samengestelde indicator werd een gemiddelde score berekend op de 10 items op basis van de originele 7-punten schaal. (Zie 'Vraagstelling survey' bij de detail-indicator.) Wie 3 of lager scoorde werd ondergebracht bij laag milieubewust handelen, wie tussen de 3 en 4,5 scoorde bij middelmatig milieubewust handelen. Wie hoger scoorde dan 4,5 bij hoog milieubewust handelen.;procent personen;
Milieubewust handelen (detail);2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_KL_S_10.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat minstens wekelijks bepaalde milieubewuste handelingen stelt.;procent personen;
Milieuvriendelijkheid van wagenpark, naar ecoscore;juli 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_MO_04.csv;Vlaamse Instelling voor Technologisch Onderzoek;Verdeling van het aantal personenwagens in het bezit van particulieren naar ecoscore.De ecoscore laat toe om de milieuprestaties van een voertuig in te schatten door rekening te houden met de belangrijkste milieu-impacten die het voertuig veroorzaakt: opwarming van de aarde (voornamelijk door CO2), luchtvervuiling (bv. door fijn stof en stikstofoxiden, met impact op de mens en ecosystemen) en geluidsoverlast. Aan elk voertuig kan een ecoscore toegekend worden tussen 0 en 100. Hoe dichter een voertuig de 100 benadert, hoe milieuvriendelijker het is.;procent personenwagens;
Minimale aanwezigheid kleuteronderwijs;februari 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ON_04.csv;Departement Onderwijs & Vorming;Aantal leerlingen dat ingeschreven is in het gewoon kleuteronderwijs met minimumaanwezigheid van 150 (3-jarigen), 185 (4-jarigen) en 290 halve dagen (5-jarigen), naar vestigingsplaats, ten opzichte van het aantal 3-, 4- en 5-jarigen ingeschreven in het gewoon kleuteronderwijs, naar vestigingsplaats.;procent leerlingen;
Misdrijven, naar type;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_SA_02.csv;Politiële Criminaliteitsstatistieken;"Statistiek van de door de politie geregistreerde feiten, per type feit, uitgedrukt als percentage van het totale aantal feiten. Het gaat om de plaats waar het geregistreerde feit plaatsvond, niet de woonplaats van het slachtoffer. In de statistiek worden verscheidene types van feiten onderscheiden: diefstal en afpersing; beschadigen van eigendom; misdrijven tegen de lichamelijke integriteit; bedrog; drugsgerelateerde misdrijven; overige geregistreerde misdrijven.";procent feiten;
Natuurlijk accres;augustus 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_15.csv;Statbel;Aantal geboorten (meer bepaald: levendgeborenen) verminderd met aantal overlijdens, zoals dat genoteerd wordt in de bevolkingsregisters van de gemeenten. Het Rijksregister van de natuurlijke personen centraliseert deze registers. Deze tabellen zijn niet gebaseerd op de aangifteformulieren voor geboorten, noch op sterftecertificaten.;per 1.000 inwoners personen;
Netheid van het centrum;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_WO_S_12.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat vindt dat het centrum van de gemeente/stad netjes is.;procent personen;
Netheid van straten en voetpaden;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_WO_S_13.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat vindt dat de straten en voetpaden in de buurt over het algemeen netjes zijn.;procent personen;
Netto-groeiratio ondernemingen;januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_EC_06.csv;Statbel;De netto-groeiratio relateert het verschil tussen het aantal oprichtingen en het aantal stopzettingen in een bepaald jaar tegenover het aantal ondernemingen in dat jaar.;per 100 ondernemingen ondernemingen;
Netto-jobcreatie;augustus 2022;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_EC_19.csv;Steunpunt Werk, Departement Werk en Sociale Economie;Evolutie van de tewerkstelling (uitgedrukt in termen van jobs van werknemers en zelfstandigen) tussen jaar x en jaar x-1 in verhouding tot de tewerkstelling in jaar x-1 (jaargemiddelde).;procent jobs;
Onbebouwde oppervlakte, naar functie;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_RU_03.csv;Statbel;Aandeel van de onbebouwde oppervlakte volgens functie: bossen en boomgaarden, recreatieterreinen, tuinen en parken, akkerland en grasland.;procent hectare;
Ondernemersgraad;juni 2021;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_EC_12.csv;Steunpunt Werk, Departement Werk en Sociale Economie;Aandeel zelfstandigen en helpers (van 20 tot en met 64 jaar) ten opzichte van het aantal inwoners van 20 tot en met 64 jaar.;procent personen;
Onderwijskansarmoede-indicator (OKI);april 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_AR_05.csv;Departement Onderwijs & Vorming;"Aantal van de vier leerlingenkenmerken (Thuistaal niet-Nederlands, Laag opleidingsniveau van de moeder, Ontvangen van een schooltoelage, Wonend in een buurt met hoge mate van schoolse vertraging) waaraan de leerlingen van het gewoon lager onderwijs voldoen (""aantikken""), gesommeerd over alle leerlingen van het gewoon lager onderwijs, en vervolgens gedeeld door het totaal aantal leerlingen van het gewoon lager onderwijs, telkens naar woonplaats. De OKI is bijgevolg een cijfer tussen 0 en 4.";per leerling kenmerken;
Ongeschikte of onbewoonbare woningen;augustus 2022;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_WO_05.csv;Wonen Vlaanderen;"Aantal besluiten ongeschikte of onbewoonbare woningen, enerzijds op basis van de Vlaamse Wooncode, anderzijds op basis van de Nieuwe Gemeentewet.Elke bewoner van een ongeschikte of onbewoonbare woning kan bij de gemeente een onderzoek tot ongeschiktheid of onbewoonbaarheid aanvragen. De gemeente mag ook zelf het initiatief nemen en ook andere overheden (gewest, OCMW, ...) en sociale (woon)organisaties kunnen een verzoek indienen. De gemeente moet elke klacht over woningkwaliteit of overbewoning beschouwen als een verzoek om de procedure tot ongeschikt- en onbewoonbaarverklaring op te starten.Een woningcontroleur van het Agentschap Wonen-Vlaanderen voert het conformiteitsonderzoek van de woning uit. Op basis van dat onderzoek geeft de adviseur woningkwaliteit van het Agentschap een advies aan de burgemeester over ongeschiktheid of onbewoonbaarheid van de woning. Als de burgemeester vrijgesteld is van de adviesverplichting, baseert hij zich op het conformiteitsonderzoek van een woningcontroleur die hij zelf heeft aangewezen. De burgemeester hoort de betrokken partijen (verhuurder en bewoners) en neemt een eindbeslissing. Met een besluit kan de burgemeester de woning ongeschikt en/of onbewoonbaar verklaren:- ongeschikt: de woning heeft minstens 15 strafpunten. Die strafpunten staan in het technisch verslag van het woningonderzoek;- onbewoonbaar: de bewoning houdt een veiligheids- en/of gezondheidsrisico in.Elk besluit tot ongeschikt- en/of onbewoonbaarheidsverklaring van de burgemeester wordt opgenomen in een Vlaamse inventaris.Alleen woningen, dit zijn zowel zelfstandige woningen (eengezinswoningen, appartementen, studio’s) als kamers, die niet aan de minimale kwaliteitsnormen voldoen, kunnen ongeschikt en/of onbewoonbaar verklaard worden. Gebouwen of gebouwgedeelten zonder woonfunctie, zoals een fabriekspand, niet.Naast bovenstaande procedure kan de burgemeester ook in toepassing van artikel 135, §2 van de Nieuwe Gemeentewet een woning onbewoonbaar verklaren. De burgemeester kan bij bedreiging van de veiligheid of de gezondheid van bewoners, omwonenden of passanten alle maatregelen nemen die hij noodzakelijk acht, bijvoorbeeld een bevel tot ontruiming, een bevel om muren te stutten of een onbewoonbaarverklaring, zolang die maatregelen in verhouding staan tot de risico's.";per 1.000 gebouwen woningen;
Ontvangsten;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_01.csv;Agentschap Binnenlands Bestuur;De totale ontvangsten zijn het geheel van opbrengsten. Ze worden samengesteld uit de exploitatieontvangsten, investeringsontvangsten en andere ontvangsten.;per inwoner euro;
Ontvangsten uit aanvullende personenbelasting;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_10.csv;Agentschap Binnenlands Bestuur;Ontvangsten uit de aanvullende personenbelasting. De aanvullende belasting op de personenbelasting (ABP) wordt gevestigd als een percentage op de inkomstenbelastingen, die geregeld, gevestigd, en ingevorderd worden door de federale overheid.De personenbelasting is een jaarlijkse belasting die de federale overheid heft op het inkomen van particulieren. De gemeente voegt daar een aanvullende heffing aan toe door de bepaling van de aanslagvoet in de vorm van een percentage. Wanneer de gemeente bv. beslist om 7% aanvullende personenbelasting (APB) te heffen, moet de belastingsplichtige voor elke 100 euro die hij moet betalen voor de basisbelasting, 7 euro (=100 euro x 7%) bijkomend betalen voor de gemeente. De inning gebeurt door de federale overheid en wordt afgedragen aan de gemeente.;per inwoner euro;
Ontvangsten uit andere belastingen;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_08.csv;Agentschap Binnenlands Bestuur;Het totaal van alle belastingontvangsten exclusief de ontvangsten uit de aanvullende personenbelasting (APB) en de opcentiemen op de onroerende voorheffing (OOV).;per inwoner euro;
Ontvangsten uit opcentiemen op onroerende voorheffing;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_12.csv;Agentschap Binnenlands Bestuur;Ontvangsten uit de opcentiemen op de onroerende voorheffing. De onroerende voorheffing is een gewestelijke belasting op onroerende goederen die u jaarlijks moet betalen. In Vlaanderen wordt de onroerende voorheffing geïnd door de Vlaamse Belastingdienst. De onroerende voorheffing wordt berekend op het (geïndexeerde) kadastraal inkomen (KI) van het onroerend goed. De voorheffing bestaat uit 3 delen: het percentage van het geïndexeerde KI bestemd voor het Vlaamse Gewest (= basisheffing of hoofdsom), de opcentiemen op de basisheffing voor de provincie en opcentiemen op de basisheffing voor de gemeente. Elke gemeente bepaalt zelf hoeveel opcentiemen (hondersten) ze heft.Als u eigenaar bent van een onroerend goed, ook als u dat zelf bewoont, wordt dat als een inkomst beschouwd. De basisbelasting wordt geheven door het Vlaamse gewest. De gemeente voegt daar een heffing aan toe door het bepalen van de aanslagvoet in de vorm van een aantal opcentiemen (hondersten). Als een gemeente bv. beslist om 1000 opcentiemen te heffen, betekent dit dat de belastingplichtige voor elke euro die hij moet betalen voor de basisbelasting, 10 euro (=1000/100) bijkomend moet betalen voor de gemeente. De inning gebeurt in principe door het Vlaamse gewest en wordt afgedragen aan de gemeente.;per inwoner euro;
Onveiligheidsgevoel in de buurt;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_SA_S_33.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat zich onveilig voelt in de buurt.;procent personen;
Onveiligheidsgevoel in de gemeente;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_SA_S_32.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat zich onveilig voelt in de gemeente/stad.;procent personen;
Opcentiemen op onroerende voorheffing;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_11.csv;Agentschap Binnenlands Bestuur;De onroerende voorheffing is een gewestelijke belasting op onroerende goederen die u jaarlijks moet betalen. In Vlaanderen wordt de onroerende voorheffing geïnd door de Vlaamse Belastingdienst. De onroerende voorheffing wordt berekend op het (geïndexeerde) kadastraal inkomen (KI) van het onroerend goed. De voorheffing bestaat uit 3 delen: het percentage van het geïndexeerde KI bestemd voor het Vlaamse Gewest (= basisheffing of hoofdsom), de opcentiemen op de basisheffing voor de provincie en opcentiemen op de basisheffing voor de gemeente. Elke gemeente bepaalt zelf hoeveel opcentiemen (hondersten) ze heft.Als u eigenaar bent van een onroerend goed, ook als u dat zelf bewoont, wordt dat als een inkomst beschouwd. De basisbelasting wordt geheven door het Vlaamse gewest. De gemeente voegt daar een heffing aan toe door het bepalen van de aanslagvoet in de vorm van een aantal opcentiemen (hondersten). Als een gemeente bv. beslist om 1000 opcentiemen te heffen, betekent dit dat de belastingplichtige voor elke euro die hij moet betalen voor de basisbelasting, 10 euro (=1000/100) bijkomend moet betalen voor de gemeente. De inning gebeurt in principe door het Vlaamse gewest en wordt afgedragen aan de gemeente.;;
Oprichtingsratio ondernemingen;januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_EC_07.csv;Statbel;De oprichtingsratio geeft de verhouding weer tussen het aantal oprichtingen in een bepaald jaar tegenover het aantal ondernemingen in dat jaar.;per 100 ondernemingen ondernemingen;
Opvangplaatsen baby's en peuters;mei 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ZO_09.csv;Kind & Gezin;Aantal plaatsen in de kinderopvang voor baby's en peuters, dat zijn kinderen van 0 jaar tot en met 2 jaar, per 100 kinderen van 0 tot en met 2 jaar. De cijfers gaan over formele kinderopvang: beroepsmatig en tegen betaling. Elke opvanglocatie voor baby’s en peuters heeft een vergunning van Kind & Gezin. Er wordt geen onderscheid gemaakt tussen private of openbare voorzieningen.;per 100 inwoners plaatsen;
Opvangplaatsen baby's en peuters met inkomenstarief;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ZO_10.csv;Kind & Gezin;Aantal plaatsen met inkomenstarief in de kinderopvang voor baby's en peuters, dat zijn kinderen van 0 jaar tot en met 2 jaar, per 100 kinderen van 0 tot en met 2 jaar. De cijfers gaan over formele kinderopvang: beroepsmatig en tegen betaling. Elke opvanglocatie voor baby’s en peuters heeft een vergunning van Kind & Gezin. Er wordt geen onderscheid gemaakt tussen private of openbare voorzieningen.;per 100 inwoners plaatsen;
Opvangplaatsen baby's en peuters: regionale spreiding;januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ZO_12.csv;Kind & Gezin;Spreiding van het aanbod opvangplaatsen voor baby's en peuters in de gemeente ten opzichte van het aanbod in de buurgemeenten.Is de spreidingsmaat 1, dan wijst dit op een gelijke spreiding van opvangplaatsen tussen gemeente en buurgemeenten, een waarde onder 1 duidt op een sterkere aanwezigheid van opvangplaatsen in de buurgemeenten dan in de gemeente en een waarde boven 1 op een sterkere aanwezigheid van opvangplaatsen in de gemeente dan in de buurgemeenten.;;
Opvangplaatsen buitenschoolse opvang;februari 2022;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ZO_13.csv;Kind & Gezin;Aantal plaatsen in de voor- en naschoolse kinderopvang voor schoolgaande kinderen, dat zijn kinderen van 3 jaar tot en met 11 jaar, per 100 kinderen van 3 tot en met 11 jaar. De cijfers gaan over formele kinderopvang: beroepsmatig en tegen betaling. Het zijn opvanglocaties die erkend en/of vergund zijn door Kind & Gezin, of een attest van toezicht hebben van Kind & Gezin. Er wordt geen onderscheid gemaakt tussen private of openbare voorzieningen.;per 100 inwoners plaatsen;
Overlijdens;augustus 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_17.csv;Statbel;Het aantal sterfgevallen in de wettelijke bevolking van het Vlaamse Gewest, meer bepaald van personen met een officiële woonplaats (hoofdverblijfplaats) in het gewest.;per 1.000 inwoners overlijdens;
Participatie in verenigingsleven;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_SA_S_05.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat lid is van een vereniging.;procent personen;
Personeelsleden;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_18.csv;Rijksdienst voor Sociale Zekerheid;Aantal persoonsleden bij gemeente, OCMW en AGB. De cijfers zijn een gemiddelde voor het tweede kwartaal van het jaar.;per 1.000 inwoners personeelsleden;
Personeelsleden, naar bestuur;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_30.csv;Rijksdienst voor Sociale Zekerheid;Aantal persoonsleden naar bestuur: gemeente, OCMW en AGB.;procent personeelsleden;
Personeelsleden, naar geslacht;december 2021;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_19.csv;Datawarehouse Arbeidsmarkt en Sociale Bescherming van de Kruispuntbank van de Sociale Zekerheid;Aandeel mannelijke en vrouwelijke personeelsleden in het personeelsbestand van de gemeente en bij de 20% personeelsleden van de gemeente met het hoogste salaris, op 1 januari van het jaar. Het gaat om de som van aantal personeelsleden tewerkgesteld bij de gemeentediensten in strikte zin, bij het OCMW van de gemeente (zonder personen tewerkgesteld onder art. 60) en bij de politiezone waartoe de gemeente behoort. De hier opgenomen cijfers zijn administratieve gegevens gebaseerd op een koppeling tussen de sociaal-economische gegevens uit het Datawarehouse Arbeidsmarkt en Sociale Bescherming van de Kruispuntbank Sociale Zekerheid (KSZ) en de gegevens van het Rijksregister. De selectie van de personeelsleden van een gemeente in de KSZ gebeurde aan de hand van de KBO-nummers van de gemeentediensten. Er werden daartoe aan de KSZ per gemeente 3 KBO-nummers bezorgd: 1 voor de gemeentediensten in strikte zin, 1 voor het OCMW en 1 voor de politiezone.;procent koppen;
Personeelsleden, naar herkomst;december 2021;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_23.csv;Datawarehouse Arbeidsmarkt en Sociale Bescherming van de Kruispuntbank van de Sociale Zekerheid;Aandeel personeelsleden per herkomstgroep (Belgische herkomst en buitenlandse herkomst) in het personeelsbestand van de gemeente, op 1 januari van het jaar. Het gaat om de som van aantal personeelsleden tewerkgesteld bij de gemeentediensten in strikte zin, bij het OCMW van de gemeente (zonder personen tewerkgesteld onder art. 60) en bij de politiezone waartoe de gemeente behoort. De hier opgenomen cijfers zijn administratieve gegevens gebaseerd op een koppeling tussen de sociaal-economische gegevens uit het Datawarehouse Arbeidsmarkt en Sociale Bescherming van de Kruispuntbank Sociale Zekerheid (KSZ) en de gegevens van het Rijksregister. De selectie van de personeelsleden van een gemeente in de KSZ gebeurde aan de hand van de KBO-nummers van de gemeentediensten. Er werden daartoe aan de KSZ per gemeente 3 KBO-nummers bezorgd: 1 voor de gemeentediensten in strikte zin, 1 voor het OCMW en 1 voor de politiezone.De herkomstgroepen binnen deze indicator zijn: Belgisch, Niet-Belgisch.Om de herkomst van een persoon te bepalen worden vier criteria in rekening gebracht: de huidige nationaliteit van de persoon, de geboortenationaliteit van de persoon, de geboortenationaliteit van de vader en de geboortenationaliteit van de moeder. Is één van deze vier criteria een niet-Belgische nationaliteit, dan wordt de persoon beschouwd als zijnde een persoon van buitenlandse herkomst.;procent koppen;
Personeelsleden, naar leeftijd;december 2021;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_20.csv;Datawarehouse Arbeidsmarkt en Sociale Bescherming van de Kruispuntbank van de Sociale Zekerheid;Aandeel personeelsleden per leeftijdsgroep in het personeelsbestand van de gemeente en bij de 20% personeelsleden van de gemeente met het hoogste salaris, op 1 januari van het jaar. Het gaat om de som van aantal personeelsleden tewerkgesteld bij de gemeentediensten in strikte zin, bij het OCMW van de gemeente (zonder personen tewerkgesteld onder art. 60) en bij de politiezone waartoe de gemeente behoort. De hier opgenomen cijfers zijn administratieve gegevens gebaseerd op een koppeling tussen de sociaal-economische gegevens uit het Datawarehouse Arbeidsmarkt en Sociale Bescherming van de Kruispuntbank Sociale Zekerheid (KSZ) en de gegevens van het Rijksregister. De selectie van de personeelsleden van een gemeente in de KSZ gebeurde aan de hand van de KBO-nummers van de gemeentediensten. Er werden daartoe aan de KSZ per gemeente 3 KBO-nummers bezorgd: 1 voor de gemeentediensten in strikte zin, 1 voor het OCMW en 1 voor de politiezone.;procent koppen;
Personeelsleden, naar prestatieregime;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_22.csv;Rijksdienst voor Sociale Zekerheid;Aantal personeelsleden opgedeeld volgens prestatieregime. Voltijdse personeelsleden werken 38 uren per week. Personeelsleden die minder werken dan 38 uren per week worden als deeltijds geclassificeerd. De cijfers zijn een gemiddelde voor het tweede kwartaal van het jaar.;procent personeelsleden;
Personeelsleden, naar statuut;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_21.csv;Rijksdienst voor Sociale Zekerheid;Aantal personeelsleden opgedeeld volgens rechtspositieregeling: vastbenoemde en contractuele personeelsleden. Deze laatsten zijn tewerkgesteld met een arbeidsovereenkomst (zoals geregeld in de Wet van 3/7/1978 betreffende de arbeidsovereenkomsten). De cijfers zijn een gemiddelde voor het tweede kwartaal van het jaar.;procent personeelsleden;
Personen in gezin met zeer lage werkintensiteit;januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_AR_06.csv;Datawarehouse Arbeidsmarkt en Sociale Bescherming van de Kruispuntbank van de Sociale Zekerheid;Aandeel personen van 0 tot en met 59 jaar dat leeft in een gezin waarvan de werkintensiteit lager of gelijk is aan 0,2, op 1 januari van het jaar. De Kruispuntbank van de Sociale Zekerheid (KSZ) registreert de socio-economische positie van de gehele Belgische bevolking. Op huishoudniveau kan worden gekeken hoeveel volwassenen in het gezin aan het werk zijn en in welk arbeidsregime. Op basis daarvan wordt een werkintensiteit van het gezin berekend. Deze werkintensiteit varieert tussen 0 (geen enkel volwassen lid van het gezin werkt) tot 1 (alle volwassen leden van het gezin werken voltijds). De gezinnen met een werkintensiteit lager dan 0,2 worden beschouwd als gezinnen met een zeer lage werkintensiteit.;procent personen;
Personen in gezin met zeer lage werkintensiteit, naar herkomst;januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_IN_59.csv;Datawarehouse Arbeidsmarkt en Sociale Bescherming van de Kruispuntbank van de Sociale Zekerheid;Aandeel personen van 0 tot en met 59 jaar dat leeft in een gezin waarvan de werkintensiteit lager of gelijk is aan 0,2, op 1 januari van het jaar, naar herkomstgroep. De Kruispuntbank van de Sociale Zekerheid (KSZ) registreert de socio-economische positie van de gehele Belgische bevolking. Op huishoudniveau kan worden gekeken hoeveel volwassenen in het gezin aan het werk zijn en in welk arbeidsregime. Op basis daarvan wordt een werkintensiteit van het gezin berekend. Deze werkintensiteit varieert tussen 0 (geen enkel volwassen lid van het gezin werkt) tot 1 (alle volwassen leden van het gezin werken voltijds). De gezinnen met een werkintensiteit lager dan 0,2 worden beschouwd als gezinnen met een zeer lage werkintensiteit.De herkomstgroepen binnen deze indicator zijn: België, EU, Niet-EU.Om de herkomst van een persoon te bepalen worden vier criteria in rekening gebracht: de huidige nationaliteit van de persoon, de geboortenationaliteit van de persoon (vóór een eventuele nationaliteitswijziging), de geboortenationaliteit van de vader en de geboortenationaliteit van de moeder. Is één van deze vier criteria een niet-Belgische nationaliteit, dan wordt de persoon beschouwd als zijnde een persoon van buitenlandse herkomst.;procent personen;
Personen met (equivalent) leefloon;december 2022;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_AR_13.csv;Programmatorische Overheidsdienst Maatschappelijke Integratie;Aantal personen met een leefloon of equivalent leefloon ten opzichte van de totale bevolking, begin van het jaar. Het leefloon kadert in het Recht op Maatschappelijke Integratie (RMI), het equivalent leefloon in het Recht op Maatschappelijke Hulp (RMH). Het RMH is er voor mensen die niet in aanmerking komen voor het RMI maar die zich in een vergelijkbare noodsituatie bevinden. Het (equivalent) leefloon is een minimuminkomen voor personen die niet over voldoende bestaansmiddelen beschikken. Het bedrag van het (equivalent) leefloon hangt af van de woonsituatie. Er bestaan in dit verband drie categorieën: personen die alleen wonen, personen die samenwonen en personen met een gezin ten laste met minstens één minderjarig kind. Het bedrag van het leefloon wordt verminderd met de inkomsten waarover de aanvrager zelf kan beschikken.;procent personen;
personen-met-equivalent-leefloon-naar-herkomst;januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_IN_01.csv;Datawarehouse Arbeidsmarkt en Sociale Bescherming van de Kruispuntbank van de Sociale Zekerheid;Aantal personen met een leefloon of equivalent leefloon ten opzichte van de totale bevolking, begin van het jaar, naar herkomst. Het leefloon kadert in het Recht op Maatschappelijke Integratie (RMI), het equivalent leefloon in het Recht op Maatschappelijke Hulp (RMH). Het RMH is er voor mensen die niet in aanmerking komen voor het RMI maar die zich in een vergelijkbare noodsituatie bevinden. Het (equivalent) leefloon is een minimuminkomen voor personen die niet over voldoende bestaansmiddelen beschikken. Het bedrag van het (equivalent) leefloon hangt af van de woonsituatie. Er bestaan in dit verband drie categorieën: personen die alleen wonen, personen die samenwonen en personen met een gezin ten laste met minstens één minderjarig kind. Het bedrag van het leefloon wordt verminderd met de inkomsten waarover de aanvrager zelf kan beschikken. De herkomstgroepen binnen deze indicator zijn: België, EU, Niet-EU. Om de herkomst van een persoon te bepalen worden vier criteria in rekening gebracht: de huidige nationaliteit van de persoon, de geboortenationaliteit van de persoon (vóór een eventuele nationaliteitswijziging), de geboortenationaliteit van de vader en de geboortenationaliteit van de moeder. Is één van deze vier criteria een niet-Belgische nationaliteit, dan wordt de persoon beschouwd als zijnde een persoon van buitenlandse herkomst.;procent personen;
